County,Polish name,County seat,Voivodeship,Area,Gminy,Population,Density (per km2)
Sztum County,powiat sztumski,Sztum,Pomeranian,730.85 km2,5,41.808,57
Szydłowiec County,powiat szydłowiecki,Szydłowiec,Masovian,452.22 km2,5,40.083,89
Tarnobrzeg,"",city county,Subcarpathian,85.6 km2,,50.033,585
Tarnobrzeg County,powiat tarnobrzeski,Tarnobrzeg,Subcarpathian,520.02 km2,4,53.73,103
Tarnów,"",city county,Lesser Poland,72.4 km2,,117.109,1.618
Tarnów County,powiat tarnowski,Tarnów,Lesser Poland,1413.44 km2,16,193.549,137
Tarnowskie Góry County,powiat tarnogórski,Tarnowskie Góry,Silesian,642.63 km2,9,137.979,215
Tatra County,powiat tatrzański,Zakopane,Lesser Poland,471.62 km2,5,65.393,139
Tczew County,powiat tczewski,Tczew,Pomeranian,697.54 km2,6,112.614,161
Tomaszów Lubelski County,powiat tomaszowski,Tomaszów Lubelski,Lublin,1487.1 km2,13,88.343,59
Tomaszów Mazowiecki County,powiat tomaszowski,Tomaszów Mazowiecki,Łódź,1025.7 km2,11,120.973,118
Toruń,"",city county,Kuyavian-Pomeranian,115.72 km2,,207.381,1.792
Toruń County,powiat toruński,Toruń,Kuyavian-Pomeranian,1229.71 km2,9,89.505,73
Trzebnica County,powiat trzebnicki,Trzebnica,Lower Silesian,1025.55 km2,6,77.285,75
Tuchola County,powiat tucholski,Tuchola,Kuyavian-Pomeranian,1075.27 km2,6,47.23,44
Turek County,powiat turecki,Turek,Greater Poland,929.4 km2,9,83.635,90
Tychy,"",city county,Silesian,81.72 km2,,130.842,1.596
Wąbrzeźno County,powiat wąbrzeski,Wąbrzeźno,Kuyavian-Pomeranian,501.31 km2,5,34.886,70
Wadowice County,powiat wadowicki,Wadowice,Lesser Poland,645.74 km2,10,154.304,239
Wągrowiec County,powiat wągrowiecki,Wągrowiec,Greater Poland,1040.8 km2,7,67.606,65
Wałbrzych,Wałbrzych,city county,Lower Silesian,84.7 km2,,110.603,1.306
Wałbrzych County,powiat wałbrzyski,Wałbrzych,Lower Silesian,430.82 km2,8,55.414,129
Wałcz County,powiat wałecki,Wałcz,West Pomeranian,1414.79 km2,5,54.639,37
Warsaw West County,powiat warszawski zachodni,Ożarów Mazowiecki,Masovian,532.99 km2,7,100.965,189
Warszawa,Warszawa,city county,Masovian,517 km2,,,3.289
Węgorzewo County,powiat węgorzewski,Węgorzewo,Warmian-Masurian,693.43 km2,3,23.641,34
Węgrów County,powiat węgrowski,Węgrów,Masovian,1219.18 km2,9,67.823,56
Wejherowo County,powiat wejherowski,Wejherowo,Pomeranian,1279.84 km2,10,181.834,142
Wieliczka County,powiat wielicki,Wieliczka,Lesser Poland,427.8 km2,5,105.266,246
Wieluń County,powiat wieluński,Wieluń,Łódź,927.69 km2,10,78.26,84
Wieruszów County,powiat wieruszowski,Wieruszów,Łódź,576.22 km2,7,42.336,74
Włocławek,"",city county,Kuyavian-Pomeranian,84.32 km2,,119.608,1.424
Włocławek County,powiat włocławski,Włocławek,Kuyavian-Pomeranian,1472.34 km2,13,85.339,58
Włodawa County,powiat włodawski,Włodawa,Lublin,1256.27 km2,8,40.052,32
Włoszczowa County,powiat włoszczowski,Włoszczowa,Świętokrzyskie,906.38 km2,6,47.137,52
Wodzisław County,powiat wodzisławski,Wodzisław Śląski,Silesian,286.92 km2,9,155.228,541
Wołomin County,powiat wołomiński,Wołomin,Masovian,955.37 km2,12,202.444,212
Wołów County,powiat wołowski,Wołów,Lower Silesian,675 km2,3,47.445,70
Wolsztyn County,powiat wolsztyński,Wolsztyn,Greater Poland,680.03 km2,3,54.718,80
Wrocław,"",city county,Lower Silesian,293 km2,,635.28,2.168
Wrocław County,powiat wrocławski,Wrocław,Lower Silesian,1116.15 km2,9,101.913,91
Września County,powiat wrzesiński,Września,Greater Poland,704.19 km2,5,73.778,105
Wschowa County,powiat wschowski,Wschowa,Lubusz,624.82 km2,3,38.958,62
Wysokie Mazowieckie County,powiat wysokomazowiecki,Wysokie Mazowieckie,Podlaskie,1288.49 km2,10,59.719,46
Wyszków County,powiat wyszkowski,Wyszków,Masovian,876.49 km2,6,71.558,82
Ząbkowice Śląskie County,powiat ząbkowicki,Ząbkowice Śląskie,Lower Silesian,801.75 km2,7,69.297,86
Zabrze,"",city county,Silesian,80.47 km2,,190.61,2.369
Żagań County,powiat żagański,Żagań,Lubusz,1131.29 km2,9,82.226,73
Zambrów County,powiat zambrowski,Zambrów,Podlaskie,733.11 km2,5,44.798,61
Zamość,"",city county,Lublin,30.34 km2,,66.613,2.196
Zamość County,powiat zamojski,Zamość,Lublin,1872.27 km2,15,110.225,59
Żary County,powiat żarski,Żary,Lubusz,1393.49 km2,10,98.929,71
Zawiercie County,powiat zawierciański,Zawiercie,Silesian,1003.27 km2,10,124.127,124
Zduńska Wola County,powiat zduńskowolski,Zduńska Wola,Łódź,369.19 km2,4,67.704,184
Zgierz County,powiat zgierski,Zgierz,Łódź,853.71 km2,9,160.805,188
Zgorzelec County,powiat zgorzelecki,Zgorzelec,Lower Silesian,838.11 km2,7,94.408,113
Zielona Góra,"",city county,Lubusz,58 km2,,118.201,2.038
Zielona Góra County,powiat zielonogórski,Zielona Góra,Lubusz,1570.64 km2,10,89.543,57
Złotoryja County,powiat złotoryjski,Złotoryja,Lower Silesian,575.45 km2,6,45.744,79
Złotów County,powiat złotowski,Złotów,Greater Poland,1660.91 km2,8,68.526,41
Żnin County,powiat żniński,Żnin,Kuyavian-Pomeranian,984.55 km2,6,69.763,71
Żory,"",city county,Silesian,64.64 km2,,62.625,969
Żuromin County,powiat żuromiński,Żuromin,Masovian,805.01 km2,6,40.078,50
Zwoleń County,powiat zwoleński,Zwoleń,Masovian,571.24 km2,5,37.183,65
Żyrardów County,powiat żyrardowski,Żyrardów,Masovian,532.63 km2,5,74.662,140
Żywiec County,powiat żywiecki,Żywiec,Silesian,1039.96 km2,15,149.492,144
