No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
251,KpWloclOpsis,,OPSIS Włocławek,KpWloclOpsis,2002-06-01,2009-05-31,background,urban,in-house,KUJAWSKO-POMORSKIE,Włocławek,pl. Wolności,52.663056000000005,19.07,
252,KpWloclPlocka,PL0345A,"Włocławek ""Płocka""",KpWloclPlocka,2003-03-16,2009-12-31,background,urban,in-house,KUJAWSKO-POMORSKIE,Włocławek,ul. Płocka 45,52.65444399999999,19.101667000000003,
253,KpWloclSiels,PL0075A,"Włocławek Sielska ""DMD""",KpWloclSielska,1995-01-03,2017-03-31,background,suburban,dust collector,KUJAWSKO-POMORSKIE,Włocławek,ul. Sielska 3,52.66472099999999,19.036386,
254,KpWloclWSHE,,Włocławek WSHE,KpWloclWSHE,2003-02-05,2005-01-31,communication,urban,in-house,KUJAWSKO-POMORSKIE,,ul. Okrzei 94,52.663056000000005,19.056389000000003,
255,KpWlocZytnia,PL0346A,"Włocławek ""Żytnia""",KpWlocZytnia,1995-04-11,2009-12-31,industrial,urban,in-house,KUJAWSKO-POMORSKIE,Włocławek,ul. Żytnia 55,52.646389,19.091110999999998,
256,KpWolice,PL0076A,Lafarge-Wolice,KpWolice,2001-09-01,2011-12-31,industrial,nonurban,container,KUJAWSKO-POMORSKIE,Wolice,,52.854167000000004,17.900278,powiat żniński
257,KpZielBoryTu,PL0077A,"Zielonka, Bory Tucholskie",,2004-05-27,,background,nonurban,container,KUJAWSKO-POMORSKIE,Zielonka,,53.662136,17.933985999999997,powiat tucholski
258,KpZninBrowarowa,PL0347A,Żnin,KpZninBrowarowa,2003-03-16,2010-12-31,background,urban,in-house,KUJAWSKO-POMORSKIE,Żnin,ul. Browarowa 14,52.851667000000006,17.715556,powiat żniński
259,KpZninPotock,PL0348A,Żnin Starostwo Potockiego,KpZninPotockiego,2008-08-11,2016-01-01,background,suburban,in-house,KUJAWSKO-POMORSKIE,Żnin,ul. Potockiego 1,52.848453000000006,17.734085999999998,powiat żniński
260,LbBialaPKopernika,PL0078A,PSSE-Biała-Kopernika,LbBialaPKopernika,1995-01-02,2009-12-31,background,urban,in-house,LUBELSKIE,Biała Podlaska,ul. Kopernika 7,52.034189000000005,23.102736,
261,LbBialaPPl.TrzechKrzyzy,PL0080A,PSSE-Biała-Pl.TrzechKrzyży,LbBialaPPl.TrzechKrzyzy,2004-03-01,2009-12-31,background,urban,container,LUBELSKIE,Biała Podlaska,pl. Trzech Krzyży 4,52.023856,23.116042,
262,LbBialySlupRPN,,Biały Słup,LbBialySlupRPN,2002-01-21,2005-12-31,background,nonurban,in-house,LUBELSKIE,Biały Słup,,50.591741999999996,22.997811,powiat zamojski
263,LbBiaPodOrze,PL0079A,"Biała Podlaska, ul. Orzechowa",,1993-04-07,,background,urban,container,LUBELSKIE,Biała Podlaska,ul. Orzechowa,52.029194,23.149389000000003,
264,LbBiaSlupRPN,PL0349A,Biały Słup (RPN),LbBialySlupRPN_Auto,2006-01-01,2017-12-31,background,nonurban,container,LUBELSKIE,Biały Słup,,50.590806,22.997889,powiat zamojski
265,LbBilgorajWSSE,PL0350A,Biłgoraj ul. Dąbrowskiego,LbBilgorajWSSE,1991-06-04,2008-12-31,background,urban,in-house,LUBELSKIE,Biłgoraj,ul. Dąbrowskiego 8,50.533889,22.716667,powiat biłgorajski
266,LbChelJagiel,PL0081A,Chełm ul. Jagiellońska,LbChelmJagWIOS,2000-04-01,2018-12-31,background,suburban,dust collector,LUBELSKIE,Chełm,ul. Jagiellońska 64,51.13095,23.514603,
267,LbChelmPolan,PL0744A,"Chełm, ul. Połaniecka",,2019-01-01,,background,urban,container,LUBELSKIE,Chełm,ul. Połaniecka,51.12219,23.47287,
268,LbChelmPolWSSE,PL0082A,Chełm ul. Połaniecka,LbChelmPolWSSE,1991-04-16,2008-12-31,background,urban,in-house,LUBELSKIE,Chełm,ul. Połaniecka 11,51.122778000000004,23.473333,
269,LbChelmSzpWSSE,PL0083A,Chełm ul. Szpitalna,LbChelmSzpWSSE,1980-01-05,2009-12-31,background,urban,in-house,LUBELSKIE,Chełm,ul. Szpitalna 48,51.150278,23.4575,
270,LbChelPolan,PL0744A,Chełm ul.Połaniecka,LbChelPolan,2019-01-01,,background,urban,container,LUBELSKIE,Chełm,ul. Połaniecka,51.12219,23.47287,
271,LbDorohWIOS,PL0084A,Dorohusk,LbDorohWIOS,2001-07-01,2006-08-31,background,nonurban,in-house,LUBELSKIE,Dorohusk,ul. teren GZO,51.175556,23.801667000000002,powiat chełmski
272,LbFlorianRPN,PL0691A,"Florianka, RPN",,2018-01-01,,background,nonurban,container,LUBELSKIE,Florianka,,50.551894,22.982861,powiat biłgorajski
273,LbHrubieszowWIOS,PL0351A,Hrubieszów Gródecka,LbHrubieszowWIOS,2003-02-06,2009-12-31,background,urban,in-house,LUBELSKIE,Hrubieszów,ul. Gródecka 36,50.804722,23.913056,powiat hrubieszowski
274,LbHrubieszowWSSE,,Hrubieszów Mickiewicza,LbHrubieszowWSSE,2002-01-02,2003-12-31,background,urban,in-house,LUBELSKIE,Hrubieszów,ul. Mickiewicza 2,50.802778,23.896110999999998,powiat hrubieszowski
275,LbJarczWolaM,PL0002R,"Jarczew, IMGW",,1985-10-01,,background,nonurban,container,LUBELSKIE,Jarczew,,51.814367,21.972375,powiat łukowski
276,LbKra-awWSSE,PL0352A,Krasnystaw ul. Sikorskiego,LbKra-awWSSE,1990-01-18,2009-12-31,background,urban,in-house,LUBELSKIE,Krasnystaw,ul. Sikorskiego 3a,50.981547,23.170486,powiat krasnostawski
277,LbKrasKoszar,PL0353A,"Kraśnik, ul. Koszarowa",,2007-01-01,,background,suburban,dust collector,LUBELSKIE,Kraśnik,ul. Koszarowa 10A,50.928239000000005,22.228308,powiat kraśnicki
278,LbKrasnikSpoldziel,PL0354A,Kraśnik Ul. Spółdzielcza,LbKrasnikSpoldziel,1994-01-25,2008-12-31,background,urban,in-house,LUBELSKIE,Kraśnik,ul. Spółdzielcza 3,50.927486,22.228567,powiat kraśnicki
279,LbKrasnobrod,PL0761A,"Krasnobród, ul. Sanatoryjna",,2020-01-16,,background,suburban,dust collector,LUBELSKIE,Krasnobród,ul. Sanatoryjna,50.549296999999996,23.197317,powiat zamojski
280,LbKrasnobrodWSSELel,,Krasnobród ul. Lelewela 2,LbKrasnobrodWSSELel,2002-01-23,2009-12-31,background,urban,in-house,LUBELSKIE,Krasnobród,ul. Lelewela 2,50.54385,23.215857999999997,powiat zamojski
281,LbLeczna1000Lecia,PL0269A,Łęczna ul. 1000-Lecia,LbLeczna1000Lecia,2006-09-01,2010-12-31,background,urban,container,LUBELSKIE,Łęczna,ul. 1000-Lecia 12,51.30445,22.883331,powiat łęczyński
282,LbLublin_Chmielna,,Lublin ul. Chmielna,LbLublin_Chmielna,1994-01-03,2002-12-31,background,urban,in-house,LUBELSKIE,Lublin,ul. Chmielna 10,51.251289,22.5558,
283,LbLublin_Krasn,PL0253A,Lublin Al. Kraśnicka,LbLublin_Krasn,2006-01-01,2010-05-10,background,urban,container,LUBELSKIE,Lublin,al. Kraśnicka 2 CD,51.247225,22.523882999999998,
284,LbLublinMaszynowa,PL0356A,Lublin ul. Maszynowa,LbLublinMaszynowa,1986-03-10,2009-12-31,background,urban,in-house,LUBELSKIE,Lublin,ul. Maszynowa 2,51.244431,22.595297,
285,LbLublinNadrzecz,,Lublin Ul. Nadrzeczna,LbLublinNadrzecz,1991-01-02,2002-12-31,background,urban,in-house,LUBELSKIE,Lublin,ul. Nadrzeczna 16,51.222225,22.581822,
286,LbLublinObywat_13,PL0086A,Lublin ul. Obywatelska 13,LbLublinObywat_13,2000-10-04,2009-12-31,background,urban,in-house,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259269,22.568522,
287,LbLublinOgrod,,Lublin Ogród Botaniczny,LbLublinOgrod,2003-09-05,2006-12-31,background,urban,container,LUBELSKIE,Lublin,ul. Sławinkowska 3,51.263964,22.514581,
288,LbLublinPiel,PL0087A,Lublin Ul. Pielęgniarek,LbLublinPiel,2001-05-22,2009-12-31,background,urban,container,LUBELSKIE,Lublin,ul. Pielęgniarek 6,51.239444,22.5075,
289,LbLublinSpokojna,PL0206A,Lublin Ul. Spokojna (Śródmieście),LbLublinSpokojna,2003-01-01,2009-12-31,background,urban,in-house,LUBELSKIE,Lublin,ul. Spokojna 9,51.250731,22.554769,
290,LbLubObywate,PL0507A,"Lublin, ul. Obywatelska",,2010-05-21,,background,urban,container,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259431,22.569132999999997,
291,LbLubSliwins,PL0085A,"Lublin, ul. Śliwińskiego",,2001-07-01,,background,urban,container,LUBELSKIE,Lublin,ul. Śliwińskiego 5,51.273078000000005,22.551675,
292,LbLukowBrowarna,PL0357A,WIOŚ-Łuków-Browarna,LbLukowBrowarna,2007-01-03,2010-12-31,background,urban,container,LUBELSKIE,Łuków,ul. Browarna 63,51.928564,22.377758,powiat łukowski
293,LbLukowSpoldzielcza,PL0088A,PSSE-Łuków-Spółdzielcza,LbLukowSpoldzielcza,1999-02-01,2008-12-31,background,urban,in-house,LUBELSKIE,Łuków,ul. Społdzielcza 4,51.929722,22.380569,powiat łukowski
294,LbMiedzPModrzewiowa,,PSSE-MiędzyrzecP-Modrzewiowa,LbMiedzPModrzewiowa,1997-01-15,2003-12-31,background,suburban,in-house,LUBELSKIE,Międzyrzec Podlaski,ul. Modrzewiowa 27,51.996064000000004,22.802539000000003,powiat bialski
295,LBMiedzPStaromiejska,PL0358A,PSSE-MiędzyrzecP-Staromiejska,LBMiedzPStaromiejska,2004-01-05,2008-12-31,background,urban,in-house,LUBELSKIE,Międzyrzec Podlaski,ul. Staromiejska 20,51.985278,22.787097,powiat bialski
296,LbNaleczAlMa,PL0710A,"Nałęczów, al. Małachowskiego",,2019-01-22,,background,suburban,dust collector,LUBELSKIE,Nałęczów,al. Małachowskiego,51.284931,22.210242,powiat puławski
297,LbNaleczow,PL0710A,Nałęczów,LbNaleczow,2019-01-22,,background,suburban,dust collector,LUBELSKIE,Nałęczów,Al. Małachowskiego,51.284931,22.210242,powiat puławski
298,LbNaleczowKasztan,PL0359A,Nałęczów Ul. Kasztanowa,LbNaleczowKasztan,1993-01-04,2009-12-31,background,urban,in-house,LUBELSKIE,Nałęczów,ul. Kasztanowa 1,51.287361,22.208233,powiat puławski
299,LbPulaKarpin,PL0657A,"Puławy, ul. Karpińskiego",,2015-06-01,2021-12-31,background,urban,container,LUBELSKIE,Puławy,ul. Karpińskiego 5,51.419047,21.961089,powiat puławski
300,LbPulaSkowie,PL0089A,Puławy ul. Skowieszyńska,LbPulawySkowieszynska,2003-07-22,2015-12-31,background,suburban,dust collector,LUBELSKIE,Puławy,ul. Skowieszyńska 51,51.410614,21.976375,powiat puławski
301,LbPulawyLubelska,PL0360A,Puławy Ul. Lubelska,LbPulawyLubelska,1993-01-04,2015-01-01,background,urban,in-house,LUBELSKIE,Puławy,ul. Lubelska 5,51.417258000000004,21.972761,powiat puławski
302,LbRadzPodSit,PL0270A,"Radzyń Podlaski, ul. Sitkowskiego",,2006-11-08,,background,suburban,dust collector,LUBELSKIE,Radzyń Podlaski,ul. Sitkowskiego 1b,51.78,22.625944,powiat radzyński
303,LbRadzyPPocztowa,PL0090A,PSSE-RadzyńP-Pocztowa,LbRadzyPPocztowa,1984-01-01,2009-12-31,background,urban,in-house,LUBELSKIE,Radzyń Podlaski,ul. Pocztowa 5,51.784558000000004,22.619614000000002,powiat radzyński
304,LbRejowiecFabrWIOS,PL0361A,Rejowiec Fabryczny,LbRejowiecFabrWIOS,2006-09-01,2010-12-31,background,urban,container,LUBELSKIE,Rejowiec Fabryczny,ul. Chełmska 51A,51.110278,23.246944,powiat chełmski
305,LbSwidnikWPolskiego,PL0362A,Świdnik ul. Wojska Polskiego,LbSwidnikWPolskiego,2004-01-12,2009-12-31,background,urban,in-house,LUBELSKIE,Świdnik,ul. Wojska Polskiego 27,51.221919,22.687217,powiat świdnicki
306,LbSwidnikWyszyns,,Świdnik Ul. Wyszyńskiego,LbSwidnikWyszyns,1993-03-24,2003-12-31,background,urban,in-house,LUBELSKIE,Świdnik,ul. Wyszyńskiego 15,51.217625,22.698714000000002,powiat świdnicki
307,LbSzczebPartyzantow,PL0363A,Szczebrzeszyn,LbSzczebPartyzantow,2003-02-10,2008-12-31,background,urban,in-house,LUBELSKIE,Szczebrzeszyn,ul. Partyzantów 35,50.698056,22.971944,powiat zamojski
308,LbTomaszowLubWIOS,PL0271A,Tomaszów Lubelski ul. Lwowska 68,LbTomaszowLubWIOS,2006-09-01,2010-12-31,background,urban,container,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 68,50.4475,23.414444,powiat tomaszowski
309,LbTomaszowLubWSSE,PL0364A,Tomaszów Lubelski ul. Lwowska 51,LbTomaszowLubWSSE,1995-01-02,2008-12-31,background,urban,in-house,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 51,50.447778,23.416944,powiat tomaszowski
310,LbWilczopole,PL0488A,Wilczopole,,2006-09-01,,background,nonurban,in-house,LUBELSKIE,Wilczopole,,51.163542,22.598608,powiat lubelski
311,LbWlodawWSSE,PL0365A,Włodawa ul. Pilsudskiego,LbWlodawWSSE,1985-01-02,2009-12-31,background,urban,in-house,LUBELSKIE,Włodawa,ul. Piłsudskiego 66,51.552308000000004,23.554408,powiat włodawski
312,LbZamoHrubie,PL0091A,"Zamość, ul. Hrubieszowska",,1992-01-01,,background,urban,container,LUBELSKIE,Zamość,ul. Hrubieszowska 69A,50.716628,23.290247,powiat zamojski
313,LbZamoscWSSE,PL0092A,Zamość ul. Peowiaków 96,LbZamoscWSSE,1985-06-12,2009-12-31,background,urban,in-house,LUBELSKIE,Zamość,ul. Peowiaków 96,50.716111,23.260832999999998,
314,LdAlekslWSSEMSklodow,,Aleksandrów Ł.-Skłodowskiej Curie1,LdAlekslWSSEMSklodow,1976-04-05,2010-01-01,background,urban,in-house,ŁÓDZKIE,Aleksandrów Łódzki,ul. Skłodowskiej Curie 1,-999.0,-999.0,
315,LdBelchatEdward,PL0665A,Bełchatów-Edwardów 5,LdBelchatEdward,2017-01-01,,background,urban,dust collector,ŁÓDZKIE,Bełchatów,ul. Edwardów 5,51.356611,19.365806,powiat bełchatowski
316,LdBelchaWSSEMOkrzei,PL0093A,Bełchatów-Okrzei49,LdBelchaWSSEMOkrzei,1988-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Bełchatów,ul. Okrzei S. 49,51.360278,19.367778,powiat bełchatowski
317,LdBelchEdwar,PL0665A,"Bełchatów, ul. Edwardów",,2017-01-01,,background,urban,dust collector,ŁÓDZKIE,Bełchatów,ul. Edwardów 5,51.356611,19.365806,powiat bełchatowski
318,LdBrzeReform,PL0366A,"Brzeziny, ul. Reformacka",,2010-01-01,,background,urban,dust collector,ŁÓDZKIE,Brzeziny,ul. Reformacka 1,51.797814,19.755769,powiat brzeziński
319,LdBrzeziWSSEMReforma,,Brzeziny-Reformacka,LdBrzeziWSSEMReforma,1990-10-16,2010-01-01,background,urban,in-house,ŁÓDZKIE,Brzeziny,ul. Reformacka 3,-999.0,-999.0,
320,LdGajewUjWod,PL0094A,"Gajew, Ujęcie Wody",,2003-11-01,,background,nonurban,container,ŁÓDZKIE,Gajew,Ujęcie wody,52.14325,19.233225,powiat łęczycki
321,LdKutn1Maja7MOB,PL0763A,"Kutno, ul. 1 Maja",,2019-09-19,,background,urban,mobile,ŁÓDZKIE,Kutno,ul. 1 Maja 7,52.231728000000004,19.353742,powiat kutnowski
322,LdKutnKosciu,PL0607A,"Kutno, ul. Kościuszki",,2014-01-01,,background,urban,dust collector,ŁÓDZKIE,Kutno,ul. Kościuszki 26,52.234481,19.368185999999998,powiat kutnowski
323,LdKutnoWIOSMWilcza,PL0095A,Kutno Wilcza,LdKutnoWIOSMWilcza,1993-03-01,2015-12-31,background,urban,in-house,ŁÓDZKIE,Kutno,ul. Wilcza 5a,52.228489,19.372206,powiat kutnowski
324,LdKutnoWSSEMGrunwal,PL0367A,Kutno-Grunwaldzka2,LdKutnoWSSEMGrunwal,1976-07-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Kutno,ul. Grunwaldzka 2,52.229167,19.372222,powiat kutnowski
325,LdLaskNarutoMOB,PL0764A,"Łask, ul. Narutowicza",,2020-10-26,,background,urban,mobile,ŁÓDZKIE,Łask,ul. Narutowicza 28,51.589261,19.131494,powiat łaski
326,LdLaskWSSEMWarszaw,PL0255A,Łask-Warszawska,LdLaskWSSEMWarszaw,1990-02-05,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łask,ul. Warszawska,51.59,19.147222,powiat łaski
327,LdLodzCzerni,PL0096A,"Łódź, ul. Czernika",,2003-11-01,,background,urban,container,ŁÓDZKIE,Łódź,ul. Czernika 1/3,51.75805,19.529785999999998,
328,LdLodzGdansk,PL0543A,"Łódź, ul. Gdańska",,2012-01-01,,background,urban,container,ŁÓDZKIE,Łódź,ul. Gdańska 16,51.775411,19.4509,
329,LdLodzJanPaw,PL0635A,"Łódź, al. Jana Pawła II",,2015-10-27,,communication,urban,container,ŁÓDZKIE,Łódź,al. Jana Pawła II 15,51.754613,19.434925,
330,LdLodzKilins,PL0589A,Łódź-Kilińskiego 102/102a,LdLodzWIOSAKilinsk,2014-01-01,2017-12-31,communication,urban,container,ŁÓDZKIE,Łódź,ul. Kilińskiego 102/102a,51.763801,19.467132,
331,LdLodzLegion,PL0100A,"Łódź, ul. Legionów",,2004-01-01,,background,urban,dust collector,ŁÓDZKIE,Łódź,ul. Legionów 1,51.776416999999995,19.452935999999998,
332,LdLodzRudzka,PL0101A,"Łódź, ul. Rudzka",,1975-01-01,,background,urban,dust collector,ŁÓDZKIE,Łódź,ul. Rudzka 60,51.705581,19.434842,
333,LdLodzWIOSARubinst,PL0097A,Łódź-Śródmieście,LdLodzWIOSARubinst,2003-11-01,2014-12-31,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Rubinsteina 77,51.767292,19.455339000000002,
334,LdLodzWSSEMAstrona,PL0368A,Łódź-Astronautów,LdLodzWSSEMAstrona,1968-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Astronautów 17,51.726110999999996,19.461944,
335,LdLodzWSSEMDeczyns,PL0099A,Łódź-Deczyńskiego,LdLodzWSSEMDeczyns,1973-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Deczyńskiego 24,51.803889,19.471110999999997,
336,LdLodzWSSEMPrzybys,PL0036A,Łódź-Przybyszewskiego10,LdLodzWSSEMPrzybys,1965-03-05,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Przybyszewskiego 10,51.744167,19.467228,
337,LdLodzWSSEMRokicin,,Łódź-Rokicińska144,LdLodzWSSEMRokicin,1971-01-02,2003-12-31,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Rokicińska 144,51.758055999999996,19.560278,
338,LdLodzWSSEMWici3,PL0037A,Łódź-Wici3,LdLodzWSSEMWici3,1994-01-07,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wici 3,51.798611,19.384722,
339,LdLodzWSSEMWilensk,PL0369A,Łódź-Wileńska25,LdLodzWSSEMWilensk,1994-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wileńska 25,51.752778,19.428333,
340,LdLodzWSSEMWodna40,PL0002A,Łódź-WSSE Wodna40,LdLodzWSSEMWodna40,1998-12-25,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wodna 40,51.761666999999996,19.476944,
341,LdLodzWSSEMZachodn,PL0102A,Łódź-Zachodnia81,LdLodzWSSEMZachodn,1967-01-05,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Zachodnia 81,51.774722,19.455003,
342,LdLodzZachod,PL0098A,Łódź-Zachodnia 40,LdLodzWIOSAZachodn,2003-09-02,2016-05-20,communication,urban,container,ŁÓDZKIE,Łódź,ul. Zachodnia 40,51.777603000000006,19.452408,
343,LdLowiczSien,PL0609A,"Łowicz, ul. Sienkiewicza",,2015-01-01,,background,urban,dust collector,ŁÓDZKIE,Łowicz,ul. Henryka Sienkiewicza 62,52.105853,19.939553,powiat łowicki
344,LdLowiczWSSEMSwFlori,PL0370A,Łowicz-Św.Floriana3,LdLowiczWSSEMSwFlori,1994-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Łowicz,ul. Św. Floriana 3,52.108056,19.936944,powiat łowicki
345,LdOpocCurieSk,PL0666A,Opoczno-Curie-Skłodowskiej 5,LdOpocCurieSk,2017-01-01,,background,urban,dust collector,ŁÓDZKIE,Opoczno,ul. Curie-Skłodowskiej 5,51.379128,20.282169,powiat opoczyński
346,LdOpocPlKosc,PL0508A,Opoczno-Pl Kościuszki 15,LdOpocznWIOSMPlKosci,2010-01-01,2017-01-01,background,urban,dust collector,ŁÓDZKIE,Opoczno,pl. Kościuszki 15,51.375842,20.289236,powiat opoczyński
347,LdOpocSkCuri,PL0666A,"Opoczno, ul. Skłodowskiej-Curie",,2017-01-01,,background,urban,dust collector,ŁÓDZKIE,Opoczno,ul. Skłodowskiej-Curie 5,51.379128,20.282169,powiat opoczyński
348,LdOpocznWSSEMPlKosci,PL0103A,Opoczno-Pl Kościuszki,LdOpocznWSSEMPlKosci,1986-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Opoczno,pl. Kościuszki,51.375,20.275008,powiat opoczyński
349,LdOzorkoWSSEMWigury1,PL0371A,Ozorków-Wigury 1,LdOzorkoWSSEMWigury1,1986-02-04,2010-01-01,background,urban,in-house,ŁÓDZKIE,Ozorków,ul. Wigury 1,51.967222,19.290283,powiat zgierski
350,LdPabianWSSEMNowa,PL0372A,Pabianice-Nowa1,LdPabianWSSEMNowa,1992-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Pabianice,ul. Nowa 1,51.659167,19.320833,powiat pabianicki
351,LdPabiKilins,PL0537A,"Pabianice, ul. Kilińskiego",,2009-12-08,,background,urban,in-house,ŁÓDZKIE,Pabianice,ul. Kilińskiego 4,51.663181,19.355486,powiat pabianicki
352,LdPabiKonsta,PL0104A,"Pabianice, ul. Konstantynowska",,2003-11-01,,industrial,urban,container,ŁÓDZKIE,Pabianice,ul. Konstantynowska,51.667981,19.368682999999997,powiat pabianicki
353,LdPajeczWSSEMZeromsk,PL0373A,Pajęczno-Żeromskiego 7,LdPajeczWSSEMZeromsk,2001-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Pajęczno,ul. Żeromskiego,51.150556,18.987781,powiat pajęczański
354,LdParzniUjWo,PL0105A,"Parzniewice, Ujęcie Wody",,2003-10-17,,background,nonurban,container,ŁÓDZKIE,Parzniewice,Ujęcie wody,51.291175,19.517556,powiat piotrkowski
355,LdPiotrkMZGKMkarolin,,Piotrków Tryb. - Karolinowska 51,LdPiotrkMZGKMkarolin,1983-06-01,2008-01-01,industrial,urban,container,ŁÓDZKIE,Piotrków Trybunalski,ul. Karolinowska 51,51.425,19.682222,
356,LdPioTrKraPr,PL0509A,"Piotrków Trybunalski, ul. Krakowskie Przedmieście",,2009-12-15,,background,urban,container,ŁÓDZKIE,Piotrków Trybunalski,ul. Krakowskie Przedmieście 13,51.404406,19.696956,
357,LdPiotrkWIOSABelzack,PL0106A,Piotrków Belzacka,LdPiotrkWIOSABelzack,1999-03-09,2009-01-13,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. Belzacka 78a,51.406944,19.673056,
358,LdPiotrkWSSEM3goMaja,PL0107A,PiotrkówTryb.-3-goMaja8,LdPiotrkWSSEM3goMaja,1987-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. 3 Maja 8,51.405,19.693333,
359,LdPioTrSienk,PL0510A,PiotrkówTryb.-Sienkiewicza 16,LdPiotrkWIOSMSienkie,2010-01-01,2015-01-01,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. Sienkiewicza 16,51.407844,19.688694,
360,LdRadomsFAMEGMGlinia,,Radomsko-Gliniana26,LdRadomsFAMEGMGlinia,1990-01-01,2006-04-01,background,urban,container,ŁÓDZKIE,Radomsko,ul. Gliniana 26,51.068056,19.426667000000002,powiat radomszczański
361,LdRadomsFAMEGMGolebi,,Radomsko-Gołębia,LdRadomsFAMEGMGolebi,1990-08-01,2005-11-01,background,urban,container,ŁÓDZKIE,Radomsko,ul. Gołębia 8,-999.0,-999.0,
362,LdRadomsMETALMPrzedb,,Radomsko-Przedborska,LdRadomsMETALMPrzedb,1990-01-01,2006-04-01,background,urban,container,ŁÓDZKIE,Radomsko,ul. Przedborska,51.074721999999994,19.461111,powiat radomszczański
363,LdRadomsRoln,PL0544A,"Radomsko, ul. Rolna",,2010-01-01,,background,urban,container,ŁÓDZKIE,Radomsko,ul. Rolna 2,51.067439,19.448694,powiat radomszczański
364,LdRadomsSoko,PL0256A,Radomsko-Sokola4,LdRadomsWIOSASokola4,2005-04-19,2016-05-20,background,urban,container,ŁÓDZKIE,Radomsko,ul. Sokola 4,51.063992,19.451164000000002,powiat radomszczański
365,LdRadomsWSSEMKomunyP,PL0108A,Radomsko-KomunyParyskiej5,LdRadomsWSSEMKomunyP,1995-01-01,2010-01-01,background,urban,in-house,ŁÓDZKIE,Radomsko,ul. Komuny Paryskiej 5,51.069444,19.441111,powiat radomszczański
366,LdRadomsWSSEMZeromsk,PL0109A,Radomsko-Żeromskiego 15,LdRadomsWSSEMZeromsk,2004-01-01,2011-05-01,background,urban,container,ŁÓDZKIE,Radomsko,ul. Żeromskiego 15,51.066111,19.441944,powiat radomszczański
367,LdRawaMaWIOSMKoscius,PL0511A,Rawa Mazowiecka-Kościuszki 5,LdRawaMaWIOSMKoscius,2008-02-01,2011-12-31,background,urban,in-house,ŁÓDZKIE,Rawa Mazowiecka,ul. Kościuszki 5,51.763358000000004,20.249978,powiat rawski
368,LdRawaNiepod,PL0545A,"Rawa Mazowiecka, ul. Niepodległości",,2010-01-01,,background,urban,in-house,ŁÓDZKIE,Rawa Mazowiecka,ul. Niepodległości 8,51.760875,20.250569,powiat rawski
369,LdSieradWIOSMKoscius,PL0374A,Sieradz-Kościuszki6,LdSieradWIOSMKoscius,2006-01-01,2011-12-31,communication,urban,in-house,ŁÓDZKIE,Sieradz,ul. Kościuszki 6,51.594444,18.736110999999998,powiat sieradzki
370,LdSieradWSSEMArmiiKr,,Sieradz-ArmiiKrajowej7,LdSieradWSSEMArmiiKr,2003-01-01,2004-03-31,background,urban,in-house,ŁÓDZKIE,Sieradz,ul. Armii Krajowej 7,51.583889,18.710556,powiat sieradzki
371,LdSieradWSSEMPOW52,PL0375A,Sieradz-POW52,LdSieradWSSEMPOW52,2004-06-01,2010-01-01,communication,urban,in-house,ŁÓDZKIE,Sieradz,ul. POW 52,51.595833,18.720278,powiat sieradzki
372,LdSieraPolna,PL0636A,"Sieradz, ul. Polna",,2016-01-01,,background,urban,dust collector,ŁÓDZKIE,Sieradz,ul. Polna 18/20,51.592110999999996,18.734898,powiat sieradzki
373,LdSierGrunwa,PL0110A,Sieradz-Grunwaldzka 28,LdSieradWSSEMGrunwal,2004-01-01,2015-12-31,background,urban,dust collector,ŁÓDZKIE,Sieradz,ul. Grunwaldzka 28,51.590125,18.717333,powiat sieradzki
374,LdSkierKonop,PL0611A,"Skierniewice, ul. Konopnickiej",,2014-07-01,,background,urban,dust collector,ŁÓDZKIE,Skierniewice,ul. Marii Konopnickiej 5,51.954314000000004,20.149378,
