STAID,STANAME,CN,LAT,LON,HGHT,county,state
25115,GDANSK-REBIECHOWO                       ,PL,54.38333333333333,18.466666666666665,145,Gdańsk County,województwo pomorskie
25116,GDANSK-SWIBNO                           ,PL,54.33333333333334,18.933333333333334,0,Gdańsk County,województwo pomorskie
25122,LIDZBARK WARMINSKI                      ,PL,54.13333333333333,20.6,99,powiat lidzbarski,województwo warmińsko-mazurskie
25125,OLECKO                                  ,PL,54.05,22.48333333333333,173,powiat olecki,województwo warmińsko-mazurskie
25126,KASPROWY WIERCH                         ,PL,49.2325,19.981944444444444,1348,powiat tatrzański,województwo małopolskie
25128,JELENIA GORA                            ,PL,50.900277777777774,15.788888888888891,427,Jelenia Góra County,województwo dolnośląskie
25129,SNIEZKA                                 ,PL,50.73611111111112,15.739444444444445,958,powiat karkonoski,województwo dolnośląskie
25130,OPOLE                                   ,PL,50.626944444444455,17.968888888888888,163,Chełm County,województwo opolskie
25131,CZOSTOCHOWA                             ,PL,50.8125,19.0925,266,Częstochowa,województwo śląskie
25132,KATOWICE-MUCHOWIEC                      ,PL,50.24055555555557,19.03277777777777,281,Katowice,województwo śląskie
25133,KRAKOW-BALICE                           ,PL,50.08027777777777,19.801944444444445,234,powiat krakowski,województwo małopolskie
25134,TARNOW                                  ,PL,50.03,20.98444444444445,207,Powiat dąbrowski,województwo małopolskie
25135,SANDOMIERZ                              ,PL,50.69666666666666,21.71583333333333,143,powiat sandomierski,województwo świętokrzyskie
25136,ZAMOSC                                  ,PL,50.69777777777777,23.20638888888889,258,powiat zamojski,województwo lubelskie
25138,LEGNICA                                 ,PL,51.1925,16.2075,134,powiat legnicki,województwo dolnośląskie
25139,LUBLIN-RADAWIEC                         ,PL,51.21694444444446,22.393611111111117,228,powiat lubelski,województwo lubelskie
25140,KOLO                                    ,PL,52.20027777777778,18.661388888888887,113,powiat kolski,województwo wielkopolskie
25141,PLOCK                                   ,PL,52.58833333333334,19.725833333333327,87,powiat płocki,województwo mazowieckie
25142,RESKO-SMOLSKO                           ,PL,53.77166666666667,15.414722222222224,66,powiat łobeski,województwo zachodniopomorskie
