L,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
270,LbChelPolan,PL0744A,Chełm ul.Połaniecka,LbChelPolan,1/1/2019,,background,urban,container,LUBELSKIE,Chełm,ul. Połaniecka,51.12219,23.47287,Chełm
271,LbDorohWIOS,PL0084A,Dorohusk,LbDorohWIOS,7/1/2001,8/31/2006,background,nonurban,in-house,LUBELSKIE,Dorohusk,ul. teren GZO,51.175556,23.801667,powiat chełmski
272,LbFlorianRPN,PL0691A,"Florianka, RPN",,1/1/2018,,background,nonurban,container,LUBELSKIE,Florianka,,50.551894,22.982861,powiat biłgorajski
273,LbHrubieszowWIOS,PL0351A,Hrubieszów Gródecka,LbHrubieszowWIOS,2/6/2003,12/31/2009,background,urban,in-house,LUBELSKIE,Hrubieszów,ul. Gródecka 36,50.804722,23.913056,powiat hrubieszowski
274,LbHrubieszowWSSE,,Hrubieszów Mickiewicza,LbHrubieszowWSSE,1/2/2002,12/31/2003,background,urban,in-house,LUBELSKIE,Hrubieszów,ul. Mickiewicza 2,50.802778,23.896111,powiat hrubieszowski
275,LbJarczWolaM,PL0002R,"Jarczew, IMGW",,10/1/1985,,background,nonurban,container,LUBELSKIE,Jarczew,,51.814367,21.972375,powiat łukowski
276,LbKra-awWSSE,PL0352A,Krasnystaw ul. Sikorskiego,LbKra-awWSSE,1/18/1990,12/31/2009,background,urban,in-house,LUBELSKIE,Krasnystaw,ul. Sikorskiego 3a,50.981547,23.170486,powiat krasnostawski
277,LbKrasKoszar,PL0353A,"Kraśnik, ul. Koszarowa",,1/1/2007,,background,suburban,dust collector,LUBELSKIE,Kraśnik,ul. Koszarowa 10A,50.928239,22.228308,powiat kraśnicki
278,LbKrasnikSpoldziel,PL0354A,Kraśnik Ul. Spółdzielcza,LbKrasnikSpoldziel,1/25/1994,12/31/2008,background,urban,in-house,LUBELSKIE,Kraśnik,ul. Spółdzielcza 3,50.927486,22.228567,powiat kraśnicki
279,LbKrasnobrod,PL0761A,"Krasnobród, ul. Sanatoryjna",,1/16/2020,,background,suburban,dust collector,LUBELSKIE,Krasnobród,ul. Sanatoryjna,50.549297,23.197317,powiat zamojski
280,LbKrasnobrodWSSELel,,Krasnobród ul. Lelewela 2,LbKrasnobrodWSSELel,1/23/2002,12/31/2009,background,urban,in-house,LUBELSKIE,Krasnobród,ul. Lelewela 2,50.54385,23.215858,powiat zamojski
281,LbLeczna1000Lecia,PL0269A,Łęczna ul. 1000-Lecia,LbLeczna1000Lecia,9/1/2006,12/31/2010,background,urban,container,LUBELSKIE,Łęczna,ul. 1000-Lecia 12,51.30445,22.883331,powiat łęczyński
282,LbLublin_Chmielna,,Lublin ul. Chmielna,LbLublin_Chmielna,1/3/1994,12/31/2002,background,urban,in-house,LUBELSKIE,Lublin,ul. Chmielna 10,51.251289,22.5558,Lublin
283,LbLublin_Krasn,PL0253A,Lublin Al. Kraśnicka,LbLublin_Krasn,1/1/2006,5/10/2010,background,urban,container,LUBELSKIE,Lublin,al. Kraśnicka 2 CD,51.247225,22.523883,Lublin
284,LbLublinMaszynowa,PL0356A,Lublin ul. Maszynowa,LbLublinMaszynowa,3/10/1986,12/31/2009,background,urban,in-house,LUBELSKIE,Lublin,ul. Maszynowa 2,51.244431,22.595297,Lublin
285,LbLublinNadrzecz,,Lublin Ul. Nadrzeczna,LbLublinNadrzecz,1/2/1991,12/31/2002,background,urban,in-house,LUBELSKIE,Lublin,ul. Nadrzeczna 16,51.222225,22.581822,Lublin
286,LbLublinObywat_13,PL0086A,Lublin ul. Obywatelska 13,LbLublinObywat_13,10/4/2000,12/31/2009,background,urban,in-house,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259269,22.568522,Lublin
287,LbLublinOgrod,,Lublin Ogród Botaniczny,LbLublinOgrod,9/5/2003,12/31/2006,background,urban,container,LUBELSKIE,Lublin,ul. Sławinkowska 3,51.263964,22.514581,Lublin
288,LbLublinPiel,PL0087A,Lublin Ul. Pielęgniarek,LbLublinPiel,5/22/2001,12/31/2009,background,urban,container,LUBELSKIE,Lublin,ul. Pielęgniarek 6,51.239444,22.5075,Lublin
289,LbLublinSpokojna,PL0206A,Lublin Ul. Spokojna (Śródmieście),LbLublinSpokojna,1/1/2003,12/31/2009,background,urban,in-house,LUBELSKIE,Lublin,ul. Spokojna 9,51.250731,22.554769,Lublin
290,LbLubObywate,PL0507A,"Lublin, ul. Obywatelska",,5/21/2010,,background,urban,container,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259431,22.569133,Lublin
291,LbLubSliwins,PL0085A,"Lublin, ul. Śliwińskiego",,7/1/2001,,background,urban,container,LUBELSKIE,Lublin,ul. Śliwińskiego 5,51.273078,22.551675,Lublin
292,LbLukowBrowarna,PL0357A,WIOŚ-Łuków-Browarna,LbLukowBrowarna,1/3/2007,12/31/2010,background,urban,container,LUBELSKIE,Łuków,ul. Browarna 63,51.928564,22.377758,powiat łukowski
293,LbLukowSpoldzielcza,PL0088A,PSSE-Łuków-Spółdzielcza,LbLukowSpoldzielcza,2/1/1999,12/31/2008,background,urban,in-house,LUBELSKIE,Łuków,ul. Społdzielcza 4,51.929722,22.380569,powiat łukowski
294,LbMiedzPModrzewiowa,,PSSE-MiędzyrzecP-Modrzewiowa,LbMiedzPModrzewiowa,1/15/1997,12/31/2003,background,suburban,in-house,LUBELSKIE,Międzyrzec Podlaski,ul. Modrzewiowa 27,51.996064,22.802539,powiat bialski
295,LBMiedzPStaromiejska,PL0358A,PSSE-MiędzyrzecP-Staromiejska,LBMiedzPStaromiejska,1/5/2004,12/31/2008,background,urban,in-house,LUBELSKIE,Międzyrzec Podlaski,ul. Staromiejska 20,51.985278,22.787097,powiat bialski
296,LbNaleczAlMa,PL0710A,"Nałęczów, al. Małachowskiego",,1/22/2019,,background,suburban,dust collector,LUBELSKIE,Nałęczów,al. Małachowskiego,51.284931,22.210242,powiat puławski
297,LbNaleczow,PL0710A,Nałęczów,LbNaleczow,1/22/2019,,background,suburban,dust collector,LUBELSKIE,Nałęczów,Al. Małachowskiego,51.284931,22.210242,powiat puławski
298,LbNaleczowKasztan,PL0359A,Nałęczów Ul. Kasztanowa,LbNaleczowKasztan,1/4/1993,12/31/2009,background,urban,in-house,LUBELSKIE,Nałęczów,ul. Kasztanowa 1,51.287361,22.208233,powiat puławski
299,LbPulaKarpin,PL0657A,"Puławy, ul. Karpińskiego",,6/1/2015,12/31/2021,background,urban,container,LUBELSKIE,Puławy,ul. Karpińskiego 5,51.419047,21.961089,powiat puławski
300,LbPulaSkowie,PL0089A,Puławy ul. Skowieszyńska,LbPulawySkowieszynska,7/22/2003,12/31/2015,background,suburban,dust collector,LUBELSKIE,Puławy,ul. Skowieszyńska 51,51.410614,21.976375,powiat puławski
301,LbPulawyLubelska,PL0360A,Puławy Ul. Lubelska,LbPulawyLubelska,1/4/1993,1/1/2015,background,urban,in-house,LUBELSKIE,Puławy,ul. Lubelska 5,51.417258,21.972761,powiat puławski
302,LbRadzPodSit,PL0270A,"Radzyń Podlaski, ul. Sitkowskiego",,11/8/2006,,background,suburban,dust collector,LUBELSKIE,Radzyń Podlaski,ul. Sitkowskiego 1b,51.78,22.625944,powiat radzyński
303,LbRadzyPPocztowa,PL0090A,PSSE-RadzyńP-Pocztowa,LbRadzyPPocztowa,1/1/1984,12/31/2009,background,urban,in-house,LUBELSKIE,Radzyń Podlaski,ul. Pocztowa 5,51.784558,22.619614,powiat radzyński
304,LbRejowiecFabrWIOS,PL0361A,Rejowiec Fabryczny,LbRejowiecFabrWIOS,9/1/2006,12/31/2010,background,urban,container,LUBELSKIE,Rejowiec Fabryczny,ul. Chełmska 51A,51.110278,23.246944,powiat chełmski
305,LbSwidnikWPolskiego,PL0362A,Świdnik ul. Wojska Polskiego,LbSwidnikWPolskiego,1/12/2004,12/31/2009,background,urban,in-house,LUBELSKIE,Świdnik,ul. Wojska Polskiego 27,51.221919,22.687217,powiat świdnicki
306,LbSwidnikWyszyns,,Świdnik Ul. Wyszyńskiego,LbSwidnikWyszyns,3/24/1993,12/31/2003,background,urban,in-house,LUBELSKIE,Świdnik,ul. Wyszyńskiego 15,51.217625,22.698714,powiat świdnicki
307,LbSzczebPartyzantow,PL0363A,Szczebrzeszyn,LbSzczebPartyzantow,2/10/2003,12/31/2008,background,urban,in-house,LUBELSKIE,Szczebrzeszyn,ul. Partyzantów 35,50.698056,22.971944,powiat zamojski
308,LbTomaszowLubWIOS,PL0271A,Tomaszów Lubelski ul. Lwowska 68,LbTomaszowLubWIOS,9/1/2006,12/31/2010,background,urban,container,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 68,50.4475,23.414444,powiat tomaszowski
309,LbTomaszowLubWSSE,PL0364A,Tomaszów Lubelski ul. Lwowska 51,LbTomaszowLubWSSE,1/2/1995,12/31/2008,background,urban,in-house,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 51,50.447778,23.416944,powiat tomaszowski
310,LbWilczopole,PL0488A,Wilczopole,,9/1/2006,,background,nonurban,in-house,LUBELSKIE,Wilczopole,,51.163542,22.598608,powiat lubelski
311,LbWlodawWSSE,PL0365A,Włodawa ul. Pilsudskiego,LbWlodawWSSE,1/2/1985,12/31/2009,background,urban,in-house,LUBELSKIE,Włodawa,ul. Piłsudskiego 66,51.552308,23.554408,powiat włodawski
312,LbZamoHrubie,PL0091A,"Zamość, ul. Hrubieszowska",,1/1/1992,,background,urban,container,LUBELSKIE,Zamość,ul. Hrubieszowska 69A,50.716628,23.290247,powiat zamojski
313,LbZamoscWSSE,PL0092A,Zamość ul. Peowiaków 96,LbZamoscWSSE,6/12/1985,12/31/2009,background,urban,in-house,LUBELSKIE,Zamość,ul. Peowiaków 96,50.716111,23.260833,Zamość
314,LdAlekslWSSEMSklodow,,Aleksandrów Ł.-Skłodowskiej Curie1,LdAlekslWSSEMSklodow,4/5/1976,1/1/2010,background,urban,in-house,ŁÓDZKIE,Aleksandrów Łódzki,ul. Skłodowskiej Curie 1,-999,-999, powiat zgierski
315,LdBelchatEdward,PL0665A,Bełchatów-Edwardów 5,LdBelchatEdward,1/1/2017,,background,urban,dust collector,ŁÓDZKIE,Bełchatów,ul. Edwardów 5,51.356611,19.365806,powiat bełchatowski
316,LdBelchaWSSEMOkrzei,PL0093A,Bełchatów-Okrzei49,LdBelchaWSSEMOkrzei,1/1/1988,1/1/2010,background,urban,in-house,ŁÓDZKIE,Bełchatów,ul. Okrzei S. 49,51.360278,19.367778,powiat bełchatowski
317,LdBelchEdwar,PL0665A,"Bełchatów, ul. Edwardów",,1/1/2017,,background,urban,dust collector,ŁÓDZKIE,Bełchatów,ul. Edwardów 5,51.356611,19.365806,powiat bełchatowski
318,LdBrzeReform,PL0366A,"Brzeziny, ul. Reformacka",,1/1/2010,,background,urban,dust collector,ŁÓDZKIE,Brzeziny,ul. Reformacka 1,51.797814,19.755769,powiat brzeziński
319,LdBrzeziWSSEMReforma,,Brzeziny-Reformacka,LdBrzeziWSSEMReforma,10/16/1990,1/1/2010,background,urban,in-house,ŁÓDZKIE,Brzeziny,ul. Reformacka 3,-999,-999,
320,LdGajewUjWod,PL0094A,"Gajew, Ujęcie Wody",,11/1/2003,,background,nonurban,container,ŁÓDZKIE,Gajew,Ujęcie wody,52.14325,19.233225,powiat łęczycki
321,LdKutn1Maja7MOB,PL0763A,"Kutno, ul. 1 Maja",,9/19/2019,,background,urban,mobile,ŁÓDZKIE,Kutno,ul. 1 Maja 7,52.231728,19.353742,powiat kutnowski
322,LdKutnKosciu,PL0607A,"Kutno, ul. Kościuszki",,1/1/2014,,background,urban,dust collector,ŁÓDZKIE,Kutno,ul. Kościuszki 26,52.234481,19.368186,powiat kutnowski
323,LdKutnoWIOSMWilcza,PL0095A,Kutno Wilcza,LdKutnoWIOSMWilcza,3/1/1993,12/31/2015,background,urban,in-house,ŁÓDZKIE,Kutno,ul. Wilcza 5a,52.228489,19.372206,powiat kutnowski
324,LdKutnoWSSEMGrunwal,PL0367A,Kutno-Grunwaldzka2,LdKutnoWSSEMGrunwal,7/1/1976,1/1/2010,background,urban,in-house,ŁÓDZKIE,Kutno,ul. Grunwaldzka 2,52.229167,19.372222,powiat kutnowski
325,LdLaskNarutoMOB,PL0764A,"Łask, ul. Narutowicza",,10/26/2020,,background,urban,mobile,ŁÓDZKIE,Łask,ul. Narutowicza 28,51.589261,19.131494,powiat łaski
326,LdLaskWSSEMWarszaw,PL0255A,Łask-Warszawska,LdLaskWSSEMWarszaw,2/5/1990,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łask,ul. Warszawska,51.59,19.147222,powiat łaski
327,LdLodzCzerni,PL0096A,"Łódź, ul. Czernika",,11/1/2003,,background,urban,container,ŁÓDZKIE,Łódź,ul. Czernika 1/3,51.75805,19.529786,Łódź
328,LdLodzGdansk,PL0543A,"Łódź, ul. Gdańska",,1/1/2012,,background,urban,container,ŁÓDZKIE,Łódź,ul. Gdańska 16,51.775411,19.4509,Łódź
329,LdLodzJanPaw,PL0635A,"Łódź, al. Jana Pawła II",,10/27/2015,,communication,urban,container,ŁÓDZKIE,Łódź,al. Jana Pawła II 15,51.754613,19.434925,Łódź
330,LdLodzKilins,PL0589A,Łódź-Kilińskiego 102/102a,LdLodzWIOSAKilinsk,1/1/2014,12/31/2017,communication,urban,container,ŁÓDZKIE,Łódź,ul. Kilińskiego 102/102a,51.763801,19.467132,Łódź
331,LdLodzLegion,PL0100A,"Łódź, ul. Legionów",,1/1/2004,,background,urban,dust collector,ŁÓDZKIE,Łódź,ul. Legionów 1,51.776417,19.452936,Łódź
332,LdLodzRudzka,PL0101A,"Łódź, ul. Rudzka",,1/1/1975,,background,urban,dust collector,ŁÓDZKIE,Łódź,ul. Rudzka 60,51.705581,19.434842,Łódź
333,LdLodzWIOSARubinst,PL0097A,Łódź-Śródmieście,LdLodzWIOSARubinst,11/1/2003,12/31/2014,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Rubinsteina 77,51.767292,19.455339,Łódź
334,LdLodzWSSEMAstrona,PL0368A,Łódź-Astronautów,LdLodzWSSEMAstrona,1/1/1968,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Astronautów 17,51.726111,19.461944,Łódź
335,LdLodzWSSEMDeczyns,PL0099A,Łódź-Deczyńskiego,LdLodzWSSEMDeczyns,1/1/1973,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Deczyńskiego 24,51.803889,19.471111,Łódź
336,LdLodzWSSEMPrzybys,PL0036A,Łódź-Przybyszewskiego10,LdLodzWSSEMPrzybys,3/5/1965,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Przybyszewskiego 10,51.744167,19.467228,Łódź
337,LdLodzWSSEMRokicin,,Łódź-Rokicińska144,LdLodzWSSEMRokicin,1/2/1971,12/31/2003,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Rokicińska 144,51.758056,19.560278,Łódź
338,LdLodzWSSEMWici3,PL0037A,Łódź-Wici3,LdLodzWSSEMWici3,1/7/1994,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wici 3,51.798611,19.384722,Łódź
339,LdLodzWSSEMWilensk,PL0369A,Łódź-Wileńska25,LdLodzWSSEMWilensk,1/1/1994,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wileńska 25,51.752778,19.428333,Łódź
340,LdLodzWSSEMWodna40,PL0002A,Łódź-WSSE Wodna40,LdLodzWSSEMWodna40,12/25/1998,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Wodna 40,51.761667,19.476944,Łódź
341,LdLodzWSSEMZachodn,PL0102A,Łódź-Zachodnia81,LdLodzWSSEMZachodn,1/5/1967,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łódź,ul. Zachodnia 81,51.774722,19.455003,Łódź
342,LdLodzZachod,PL0098A,Łódź-Zachodnia 40,LdLodzWIOSAZachodn,9/2/2003,5/20/2016,communication,urban,container,ŁÓDZKIE,Łódź,ul. Zachodnia 40,51.777603,19.452408,Łódź
343,LdLowiczSien,PL0609A,"Łowicz, ul. Sienkiewicza",,1/1/2015,,background,urban,dust collector,ŁÓDZKIE,Łowicz,ul. Henryka Sienkiewicza 62,52.105853,19.939553,powiat łowicki
344,LdLowiczWSSEMSwFlori,PL0370A,Łowicz-Św.Floriana3,LdLowiczWSSEMSwFlori,1/1/1994,1/1/2010,background,urban,in-house,ŁÓDZKIE,Łowicz,ul. Św. Floriana 3,52.108056,19.936944,powiat łowicki
345,LdOpocCurieSk,PL0666A,Opoczno-Curie-Skłodowskiej 5,LdOpocCurieSk,1/1/2017,,background,urban,dust collector,ŁÓDZKIE,Opoczno,ul. Curie-Skłodowskiej 5,51.379128,20.282169,powiat opoczyński
346,LdOpocPlKosc,PL0508A,Opoczno-Pl Kościuszki 15,LdOpocznWIOSMPlKosci,1/1/2010,1/1/2017,background,urban,dust collector,ŁÓDZKIE,Opoczno,pl. Kościuszki 15,51.375842,20.289236,powiat opoczyński
347,LdOpocSkCuri,PL0666A,"Opoczno, ul. Skłodowskiej-Curie",,1/1/2017,,background,urban,dust collector,ŁÓDZKIE,Opoczno,ul. Skłodowskiej-Curie 5,51.379128,20.282169,powiat opoczyński
348,LdOpocznWSSEMPlKosci,PL0103A,Opoczno-Pl Kościuszki,LdOpocznWSSEMPlKosci,1/1/1986,1/1/2010,background,urban,in-house,ŁÓDZKIE,Opoczno,pl. Kościuszki,51.375,20.275008,powiat opoczyński
349,LdOzorkoWSSEMWigury1,PL0371A,Ozorków-Wigury 1,LdOzorkoWSSEMWigury1,2/4/1986,1/1/2010,background,urban,in-house,ŁÓDZKIE,Ozorków,ul. Wigury 1,51.967222,19.290283,powiat zgierski
350,LdPabianWSSEMNowa,PL0372A,Pabianice-Nowa1,LdPabianWSSEMNowa,1/1/1992,1/1/2010,background,urban,in-house,ŁÓDZKIE,Pabianice,ul. Nowa 1,51.659167,19.320833,powiat pabianicki
351,LdPabiKilins,PL0537A,"Pabianice, ul. Kilińskiego",,12/8/2009,,background,urban,in-house,ŁÓDZKIE,Pabianice,ul. Kilińskiego 4,51.663181,19.355486,powiat pabianicki
352,LdPabiKonsta,PL0104A,"Pabianice, ul. Konstantynowska",,11/1/2003,,industrial,urban,container,ŁÓDZKIE,Pabianice,ul. Konstantynowska,51.667981,19.368683,powiat pabianicki
353,LdPajeczWSSEMZeromsk,PL0373A,Pajęczno-Żeromskiego 7,LdPajeczWSSEMZeromsk,1/1/2001,1/1/2010,background,urban,in-house,ŁÓDZKIE,Pajęczno,ul. Żeromskiego,51.150556,18.987781,powiat pajęczański
354,LdParzniUjWo,PL0105A,"Parzniewice, Ujęcie Wody",,10/17/2003,,background,nonurban,container,ŁÓDZKIE,Parzniewice,Ujęcie wody,51.291175,19.517556,powiat piotrkowski
355,LdPiotrkMZGKMkarolin,,Piotrków Tryb. - Karolinowska 51,LdPiotrkMZGKMkarolin,6/1/1983,1/1/2008,industrial,urban,container,ŁÓDZKIE,Piotrków Trybunalski,ul. Karolinowska 51,51.425,19.682222,Piotrków Trybunalski
356,LdPioTrKraPr,PL0509A,"Piotrków Trybunalski, ul. Krakowskie Przedmieście",,12/15/2009,,background,urban,container,ŁÓDZKIE,Piotrków Trybunalski,ul. Krakowskie Przedmieście 13,51.404406,19.696956,Piotrków Trybunalski
357,LdPiotrkWIOSABelzack,PL0106A,Piotrków Belzacka,LdPiotrkWIOSABelzack,3/9/1999,1/13/2009,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. Belzacka 78a,51.406944,19.673056,Piotrków Trybunalski
358,LdPiotrkWSSEM3goMaja,PL0107A,PiotrkówTryb.-3-goMaja8,LdPiotrkWSSEM3goMaja,1/1/1987,1/1/2010,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. 3 Maja 8,51.405,19.693333,Piotrków Trybunalski
359,LdPioTrSienk,PL0510A,PiotrkówTryb.-Sienkiewicza 16,LdPiotrkWIOSMSienkie,1/1/2010,1/1/2015,background,urban,in-house,ŁÓDZKIE,Piotrków Trybunalski,ul. Sienkiewicza 16,51.407844,19.688694,Piotrków Trybunalski
360,LdRadomsFAMEGMGlinia,,Radomsko-Gliniana26,LdRadomsFAMEGMGlinia,1/1/1990,4/1/2006,background,urban,container,ŁÓDZKIE,Radomsko,ul. Gliniana 26,51.068056,19.426667,powiat radomszczański
361,LdRadomsFAMEGMGolebi,,Radomsko-Gołębia,LdRadomsFAMEGMGolebi,8/1/1990,11/1/2005,background,urban,container,ŁÓDZKIE,Radomsko,ul. Gołębia 8,-999,-999,
362,LdRadomsMETALMPrzedb,,Radomsko-Przedborska,LdRadomsMETALMPrzedb,1/1/1990,4/1/2006,background,urban,container,ŁÓDZKIE,Radomsko,ul. Przedborska,51.074722,19.461111,powiat radomszczański
363,LdRadomsRoln,PL0544A,"Radomsko, ul. Rolna",,1/1/2010,,background,urban,container,ŁÓDZKIE,Radomsko,ul. Rolna 2,51.067439,19.448694,powiat radomszczański
364,LdRadomsSoko,PL0256A,Radomsko-Sokola4,LdRadomsWIOSASokola4,4/19/2005,5/20/2016,background,urban,container,ŁÓDZKIE,Radomsko,ul. Sokola 4,51.063992,19.451164,powiat radomszczański
365,LdRadomsWSSEMKomunyP,PL0108A,Radomsko-KomunyParyskiej5,LdRadomsWSSEMKomunyP,1/1/1995,1/1/2010,background,urban,in-house,ŁÓDZKIE,Radomsko,ul. Komuny Paryskiej 5,51.069444,19.441111,powiat radomszczański
366,LdRadomsWSSEMZeromsk,PL0109A,Radomsko-Żeromskiego 15,LdRadomsWSSEMZeromsk,1/1/2004,5/1/2011,background,urban,container,ŁÓDZKIE,Radomsko,ul. Żeromskiego 15,51.066111,19.441944,powiat radomszczański
367,LdRawaMaWIOSMKoscius,PL0511A,Rawa Mazowiecka-Kościuszki 5,LdRawaMaWIOSMKoscius,2/1/2008,12/31/2011,background,urban,in-house,ŁÓDZKIE,Rawa Mazowiecka,ul. Kościuszki 5,51.763358,20.249978,powiat rawski
368,LdRawaNiepod,PL0545A,"Rawa Mazowiecka, ul. Niepodległości",,1/1/2010,,background,urban,in-house,ŁÓDZKIE,Rawa Mazowiecka,ul. Niepodległości 8,51.760875,20.250569,powiat rawski
369,LdSieradWIOSMKoscius,PL0374A,Sieradz-Kościuszki6,LdSieradWIOSMKoscius,1/1/2006,12/31/2011,communication,urban,in-house,ŁÓDZKIE,Sieradz,ul. Kościuszki 6,51.594444,18.736111,powiat sieradzki
370,LdSieradWSSEMArmiiKr,,Sieradz-ArmiiKrajowej7,LdSieradWSSEMArmiiKr,1/1/2003,3/31/2004,background,urban,in-house,ŁÓDZKIE,Sieradz,ul. Armii Krajowej 7,51.583889,18.710556,powiat sieradzki
371,LdSieradWSSEMPOW52,PL0375A,Sieradz-POW52,LdSieradWSSEMPOW52,6/1/2004,1/1/2010,communication,urban,in-house,ŁÓDZKIE,Sieradz,ul. POW 52,51.595833,18.720278,powiat sieradzki
372,LdSieraPolna,PL0636A,"Sieradz, ul. Polna",,1/1/2016,,background,urban,dust collector,ŁÓDZKIE,Sieradz,ul. Polna 18/20,51.592111,18.734898,powiat sieradzki
373,LdSierGrunwa,PL0110A,Sieradz-Grunwaldzka 28,LdSieradWSSEMGrunwal,1/1/2004,12/31/2015,background,urban,dust collector,ŁÓDZKIE,Sieradz,ul. Grunwaldzka 28,51.590125,18.717333,powiat sieradzki
374,LdSkierKonop,PL0611A,"Skierniewice, ul. Konopnickiej",,7/1/2014,,background,urban,dust collector,ŁÓDZKIE,Skierniewice,ul. Marii Konopnickiej 5,51.954314,20.149378,Skierniewice
375,LdSkiernWIOSMJagiell,PL0546A,Skierniewice-Jagiellońska 28,LdSkiernWIOSMJagiell,1/1/2010,6/30/2014,background,urban,in-house,ŁÓDZKIE,Skierniewice,ul. Jagiellońska 28,51.959561,20.146183,Skierniewice
376,LdSkiernWIOSMWitaStw,PL0512A,Skierniewice-Wita Stwosza2/4,LdSkiernWIOSMWitaStw,3/7/2008,12/31/2011,background,urban,in-house,ŁÓDZKIE,Skierniewice,ul. Wita Stwosza 2/4,51.960719,20.147408,Skierniewice
377,LdSkiernWSSEMKoperni,PL0111A,Skierniewice-Kopernika5,LdSkiernWSSEMKoperni,1/2/1994,1/1/2010,background,urban,in-house,ŁÓDZKIE,Skierniewice,ul. Kopernika 5,51.952778,20.152222,Skierniewice
378,LdSkiernWSSEMReymont,PL0112A,Skierniewice-Reymonta 33,LdSkiernWSSEMReymont,1/1/2004,5/1/2011,background,urban,in-house,ŁÓDZKIE,Skierniewice,ul. Reymonta 33,51.96,20.147222,Skierniewice
379,LdSkiernWSSEMWankowi,,Skierniewice-Wańkowicza10,LdSkiernWSSEMWankowi,1/16/1991,12/31/2003,background,urban,in-house,ŁÓDZKIE,Skierniewice,ul. Wańkowicza 10,51.973611,20.148889,Skierniewice
380,LdToMaSwAnto,PL0547A,Tomaszów Mazowiecki ul. Św. Antoniego,,1/1/2010,,background,urban,dust collector,ŁÓDZKIE,Tomaszów Mazowiecki,ul. Św. Antoniego 43/45,51.526258,20.016786,powiat tomaszowski
381,LdTomaszWSSEMSw.Anto,PL0113A,TomaszówMaz.-Św.Antoniego24,LdTomaszWSSEMSw.Anto,1/1/1988,8/13/2014,background,urban,container,ŁÓDZKIE,Tomaszów Mazowiecki,ul. Św. Antoniego 24,51.528889,20.010833,powiat tomaszowski
382,LdUniejTermy,PL0667A,Uniejów-Termy,LdUniejTermy,1/1/2017,,background,suburban,dust collector,ŁÓDZKIE,Uniejów,ul. Zamkowa 1,51.971664,18.79035,powiat poddębicki
383,LdUniejZamko,PL0667A,"Uniejów, ul. Zamkowa",,1/1/2017,,background,suburban,dust collector,ŁÓDZKIE,Uniejów,ul. Zamkowa 1,51.971664,18.79035,powiat poddębicki
384,LdWielunPOW1,PL0590A,"Wieluń, ul. POW",,1/1/2012,,background,urban,dust collector,ŁÓDZKIE,Wieluń,ul. POW 12,51.217828,18.581828,powiat wieluński
385,LdWielunWSSEMPOW14,PL0208A,Wieluń-POW14,LdWielunWSSEMPOW14,1/1/2005,1/1/2010,background,urban,in-house,ŁÓDZKIE,Wieluń,ul. POW 14,51.218611,18.581389,powiat wieluński
386,LdWielunWSSEMWojskaP,,Wieluń-WojskaPolskiego,LdWielunWSSEMWojskaP,1/1/2003,1/1/2007,background,urban,in-house,ŁÓDZKIE,Wieluń,ul. Wojska Polskiego,-999,-999,powiat wielu?ski
387,LdWieluPOW12,PL0590A,Wieluń-POW 12,LdWielunWIOSMPOW,1/1/2012,,background,urban,dust collector,ŁÓDZKIE,Wieluń,ul. P.O.W. 12,51.217828,18.581828,powiat wieluński
388,LdZduWoKrole,PL0548A,"Zduńska Wola, ul. Królewska",,8/16/2011,,background,urban,dust collector,ŁÓDZKIE,Zduńska Wola,ul. Królewska 10,51.601439,18.940122,powiat zduńskowolski
389,LdZdWolaWSSEMDabrows,PL0114A,ZduńskaWola-Dąbrowskiego1,LdZdWolaWSSEMDabrows,1/1/2003,1/1/2010,background,urban,in-house,ŁÓDZKIE,Zduńska Wola,ul. Dąbrowskiego 1,51.601111,18.936944,powiat zduńskowolski
390,LdZdWolaWSSEMPlWolno,,Zduńska Wola-Plac Wolności 20,LdZdWolaWSSEMPlWolno,1/1/2001,7/31/2003,background,urban,in-house,ŁÓDZKIE,Zduńska Wola,pl. Wolności 20,51.603056,18.934444,powiat zduńskowolski
